source_vintage,zipcode18,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
2018,00501,33095,Patchogue,NY,301,East Long Island,NY
2018,00544,33095,Patchogue,NY,301,East Long Island,NY
2018,01001,22058,Springfield,MA,230,Springfield,MA
2018,01002,22046,Northampton,MA,230,Springfield,MA
2018,01003,22046,Northampton,MA,230,Springfield,MA
2018,01004,22046,Northampton,MA,230,Springfield,MA
2018,01005,22070,Worcester,MA,231,Worcester,MA
2018,01007,22063,Ware,MA,230,Springfield,MA
2018,01008,22066,Westfield,MA,230,Springfield,MA
2018,01009,22049,Palmer,MA,230,Springfield,MA
2018,01010,22057,Southbridge,MA,231,Worcester,MA
2018,01011,22051,Pittsfield,MA,295,Albany,NY
2018,01012,22046,Northampton,MA,230,Springfield,MA
2018,01013,22058,Springfield,MA,230,Springfield,MA
2018,01014,22058,Springfield,MA,230,Springfield,MA
2018,01020,22058,Springfield,MA,230,Springfield,MA
2018,01021,22058,Springfield,MA,230,Springfield,MA
2018,01022,22023,Holyoke,MA,230,Springfield,MA
2018,01026,22046,Northampton,MA,230,Springfield,MA
2018,01027,22046,Northampton,MA,230,Springfield,MA
2018,01028,22058,Springfield,MA,230,Springfield,MA
2018,01029,22020,Great Barrington,MA,230,Springfield,MA
2018,01030,22058,Springfield,MA,230,Springfield,MA
2018,01031,22063,Ware,MA,230,Springfield,MA
2018,01032,22046,Northampton,MA,230,Springfield,MA
2018,01033,22023,Holyoke,MA,230,Springfield,MA
2018,01034,22066,Westfield,MA,230,Springfield,MA
2018,01035,22046,Northampton,MA,230,Springfield,MA
2018,01036,22058,Springfield,MA,230,Springfield,MA
2018,01037,22063,Ware,MA,230,Springfield,MA
2018,01038,22046,Northampton,MA,230,Springfield,MA
2018,01039,22021,Greenfield,MA,230,Springfield,MA
2018,01040,22023,Holyoke,MA,230,Springfield,MA
2018,01041,22023,Holyoke,MA,230,Springfield,MA
2018,01050,22066,Westfield,MA,230,Springfield,MA
2018,01053,22046,Northampton,MA,230,Springfield,MA
2018,01054,22021,Greenfield,MA,230,Springfield,MA
2018,01056,22028,Ludlow,MA,230,Springfield,MA
2018,01057,22049,Palmer,MA,230,Springfield,MA
2018,01059,22046,Northampton,MA,230,Springfield,MA
2018,01060,22046,Northampton,MA,230,Springfield,MA
2018,01061,22046,Northampton,MA,230,Springfield,MA
2018,01062,22046,Northampton,MA,230,Springfield,MA
2018,01063,22046,Northampton,MA,230,Springfield,MA
2018,01066,22046,Northampton,MA,230,Springfield,MA
2018,01068,22070,Worcester,MA,231,Worcester,MA
2018,01069,22049,Palmer,MA,230,Springfield,MA
2018,01070,22046,Northampton,MA,230,Springfield,MA
2018,01071,22066,Westfield,MA,230,Springfield,MA
2018,01072,22021,Greenfield,MA,230,Springfield,MA
2018,01073,22046,Northampton,MA,230,Springfield,MA
2018,01074,22070,Worcester,MA,231,Worcester,MA
2018,01075,22023,Holyoke,MA,230,Springfield,MA
2018,01077,22066,Westfield,MA,230,Springfield,MA
2018,01079,22049,Palmer,MA,230,Springfield,MA
2018,01080,22049,Palmer,MA,230,Springfield,MA
2018,01081,22057,Southbridge,MA,231,Worcester,MA
2018,01082,22063,Ware,MA,230,Springfield,MA
2018,01083,22063,Ware,MA,230,Springfield,MA
2018,01084,22046,Northampton,MA,230,Springfield,MA
2018,01085,22066,Westfield,MA,230,Springfield,MA
2018,01086,22066,Westfield,MA,230,Springfield,MA
2018,01088,22046,Northampton,MA,230,Springfield,MA
2018,01089,22058,Springfield,MA,230,Springfield,MA
2018,01090,22058,Springfield,MA,230,Springfield,MA
2018,01092,22063,Ware,MA,230,Springfield,MA
2018,01093,22021,Greenfield,MA,230,Springfield,MA
2018,01094,22063,Ware,MA,230,Springfield,MA
2018,01095,22058,Springfield,MA,230,Springfield,MA
2018,01096,22046,Northampton,MA,230,Springfield,MA
2018,01097,22066,Westfield,MA,230,Springfield,MA
2018,01098,22046,Northampton,MA,230,Springfield,MA
2018,01101,22058,Springfield,MA,230,Springfield,MA
2018,01102,22058,Springfield,MA,230,Springfield,MA
2018,01103,22058,Springfield,MA,230,Springfield,MA
2018,01104,22058,Springfield,MA,230,Springfield,MA
2018,01105,22058,Springfield,MA,230,Springfield,MA
2018,01106,22058,Springfield,MA,230,Springfield,MA
2018,01107,22058,Springfield,MA,230,Springfield,MA
2018,01108,22058,Springfield,MA,230,Springfield,MA
2018,01109,22058,Springfield,MA,230,Springfield,MA
2018,01111,22058,Springfield,MA,230,Springfield,MA
2018,01115,22058,Springfield,MA,230,Springfield,MA
2018,01116,22058,Springfield,MA,230,Springfield,MA
2018,01118,22058,Springfield,MA,230,Springfield,MA
2018,01119,22058,Springfield,MA,230,Springfield,MA
2018,01128,22058,Springfield,MA,230,Springfield,MA
2018,01129,22058,Springfield,MA,230,Springfield,MA
2018,01138,22058,Springfield,MA,230,Springfield,MA
2018,01139,22058,Springfield,MA,230,Springfield,MA
2018,01144,22058,Springfield,MA,230,Springfield,MA
2018,01151,22058,Springfield,MA,230,Springfield,MA
2018,01152,22058,Springfield,MA,230,Springfield,MA
2018,01199,22058,Springfield,MA,230,Springfield,MA
2018,01201,22051,Pittsfield,MA,295,Albany,NY
2018,01202,22051,Pittsfield,MA,295,Albany,NY
2018,01203,22051,Pittsfield,MA,295,Albany,NY
2018,01220,22045,North Adams,MA,230,Springfield,MA
2018,01222,22020,Great Barrington,MA,230,Springfield,MA
2018,01223,22051,Pittsfield,MA,295,Albany,NY
2018,01224,22051,Pittsfield,MA,295,Albany,NY
2018,01225,22051,Pittsfield,MA,295,Albany,NY
2018,01226,22051,Pittsfield,MA,295,Albany,NY
2018,01227,22051,Pittsfield,MA,295,Albany,NY
2018,01229,22051,Pittsfield,MA,295,Albany,NY
2018,01230,22020,Great Barrington,MA,230,Springfield,MA
2018,01235,22051,Pittsfield,MA,295,Albany,NY
2018,01236,22020,Great Barrington,MA,230,Springfield,MA
2018,01237,22051,Pittsfield,MA,295,Albany,NY
2018,01238,22051,Pittsfield,MA,295,Albany,NY
2018,01240,22051,Pittsfield,MA,295,Albany,NY
2018,01242,22051,Pittsfield,MA,295,Albany,NY
2018,01243,22051,Pittsfield,MA,295,Albany,NY
2018,01244,22020,Great Barrington,MA,230,Springfield,MA
2018,01245,22020,Great Barrington,MA,230,Springfield,MA
2018,01247,22045,North Adams,MA,230,Springfield,MA
2018,01252,22020,Great Barrington,MA,230,Springfield,MA
2018,01253,22020,Great Barrington,MA,230,Springfield,MA
2018,01254,22051,Pittsfield,MA,295,Albany,NY
2018,01255,22020,Great Barrington,MA,230,Springfield,MA
2018,01256,22045,North Adams,MA,230,Springfield,MA
2018,01257,22020,Great Barrington,MA,230,Springfield,MA
2018,01258,22020,Great Barrington,MA,230,Springfield,MA
2018,01259,22020,Great Barrington,MA,230,Springfield,MA
2018,01260,22051,Pittsfield,MA,295,Albany,NY
2018,01262,22051,Pittsfield,MA,295,Albany,NY
2018,01263,22051,Pittsfield,MA,295,Albany,NY
2018,01264,22051,Pittsfield,MA,295,Albany,NY
2018,01266,22051,Pittsfield,MA,295,Albany,NY
2018,01267,22045,North Adams,MA,230,Springfield,MA
2018,01270,22051,Pittsfield,MA,295,Albany,NY
2018,01301,22021,Greenfield,MA,230,Springfield,MA
2018,01302,22021,Greenfield,MA,230,Springfield,MA
2018,01330,22021,Greenfield,MA,230,Springfield,MA
2018,01331,22002,Athol,MA,231,Worcester,MA
2018,01337,22021,Greenfield,MA,230,Springfield,MA
2018,01338,22021,Greenfield,MA,230,Springfield,MA
2018,01339,22021,Greenfield,MA,230,Springfield,MA
2018,01340,22021,Greenfield,MA,230,Springfield,MA
2018,01341,22021,Greenfield,MA,230,Springfield,MA
2018,01342,22021,Greenfield,MA,230,Springfield,MA
2018,01343,22021,Greenfield,MA,230,Springfield,MA
2018,01344,22021,Greenfield,MA,230,Springfield,MA
2018,01346,22021,Greenfield,MA,230,Springfield,MA
2018,01347,22021,Greenfield,MA,230,Springfield,MA
2018,01349,22021,Greenfield,MA,230,Springfield,MA
2018,01350,22045,North Adams,MA,230,Springfield,MA
2018,01351,22021,Greenfield,MA,230,Springfield,MA
2018,01354,22021,Greenfield,MA,230,Springfield,MA
2018,01355,22002,Athol,MA,231,Worcester,MA
2018,01360,22021,Greenfield,MA,230,Springfield,MA
2018,01364,22002,Athol,MA,231,Worcester,MA
2018,01366,22002,Athol,MA,231,Worcester,MA
2018,01367,22021,Greenfield,MA,230,Springfield,MA
2018,01368,22002,Athol,MA,231,Worcester,MA
2018,01370,22021,Greenfield,MA,230,Springfield,MA
2018,01373,22021,Greenfield,MA,230,Springfield,MA
2018,01375,22021,Greenfield,MA,230,Springfield,MA
2018,01376,22021,Greenfield,MA,230,Springfield,MA
2018,01378,22002,Athol,MA,231,Worcester,MA
2018,01379,22021,Greenfield,MA,230,Springfield,MA
2018,01380,22021,Greenfield,MA,230,Springfield,MA
2018,01420,22016,Fitchburg,MA,231,Worcester,MA
2018,01430,22018,Gardner,MA,231,Worcester,MA
2018,01431,22016,Fitchburg,MA,231,Worcester,MA
2018,01432,22004,Ayer,MA,227,Boston,MA
2018,01434,22004,Ayer,MA,227,Boston,MA
2018,01436,22018,Gardner,MA,231,Worcester,MA
2018,01438,22018,Gardner,MA,231,Worcester,MA
2018,01440,22018,Gardner,MA,231,Worcester,MA
2018,01441,22018,Gardner,MA,231,Worcester,MA
2018,01450,22004,Ayer,MA,227,Boston,MA
2018,01451,22004,Ayer,MA,227,Boston,MA
2018,01452,22018,Gardner,MA,231,Worcester,MA
2018,01453,22026,Leominster,MA,231,Worcester,MA
2018,01460,22004,Ayer,MA,227,Boston,MA
2018,01462,22016,Fitchburg,MA,231,Worcester,MA
2018,01463,22004,Ayer,MA,227,Boston,MA
2018,01464,22004,Ayer,MA,227,Boston,MA
2018,01467,22004,Ayer,MA,227,Boston,MA
2018,01468,22018,Gardner,MA,231,Worcester,MA
2018,01469,22004,Ayer,MA,227,Boston,MA
2018,01470,22004,Ayer,MA,227,Boston,MA
2018,01471,22004,Ayer,MA,227,Boston,MA
2018,01472,22004,Ayer,MA,227,Boston,MA
2018,01473,22018,Gardner,MA,231,Worcester,MA
2018,01474,22016,Fitchburg,MA,231,Worcester,MA
2018,01475,22018,Gardner,MA,231,Worcester,MA
2018,01501,22070,Worcester,MA,231,Worcester,MA
2018,01503,22070,Worcester,MA,231,Worcester,MA
2018,01504,41009,Woonsocket,RI,364,Providence,RI
2018,01505,22070,Worcester,MA,231,Worcester,MA
2018,01506,22070,Worcester,MA,231,Worcester,MA
2018,01507,22057,Southbridge,MA,231,Worcester,MA
2018,01508,22057,Southbridge,MA,231,Worcester,MA
2018,01509,22057,Southbridge,MA,231,Worcester,MA
2018,01510,22010,Clinton,MA,231,Worcester,MA
2018,01515,22070,Worcester,MA,231,Worcester,MA
2018,01516,22070,Worcester,MA,231,Worcester,MA
2018,01518,22057,Southbridge,MA,231,Worcester,MA
2018,01519,22070,Worcester,MA,231,Worcester,MA
2018,01520,22070,Worcester,MA,231,Worcester,MA
2018,01521,22057,Southbridge,MA,231,Worcester,MA
2018,01522,22070,Worcester,MA,231,Worcester,MA
2018,01523,22010,Clinton,MA,231,Worcester,MA
2018,01524,22070,Worcester,MA,231,Worcester,MA
2018,01525,22070,Worcester,MA,231,Worcester,MA
2018,01526,22070,Worcester,MA,231,Worcester,MA
2018,01527,22070,Worcester,MA,231,Worcester,MA
2018,01529,41009,Woonsocket,RI,364,Providence,RI
2018,01531,22070,Worcester,MA,231,Worcester,MA
2018,01532,22070,Worcester,MA,231,Worcester,MA
2018,01534,22070,Worcester,MA,231,Worcester,MA
2018,01535,22070,Worcester,MA,231,Worcester,MA
2018,01536,22070,Worcester,MA,231,Worcester,MA
2018,01537,22070,Worcester,MA,231,Worcester,MA
2018,01538,22070,Worcester,MA,231,Worcester,MA
2018,01540,22070,Worcester,MA,231,Worcester,MA
2018,01541,22070,Worcester,MA,231,Worcester,MA
2018,01542,22070,Worcester,MA,231,Worcester,MA
2018,01543,22070,Worcester,MA,231,Worcester,MA
2018,01545,22070,Worcester,MA,231,Worcester,MA
2018,01546,22070,Worcester,MA,231,Worcester,MA
2018,01550,22057,Southbridge,MA,231,Worcester,MA
2018,01560,22070,Worcester,MA,231,Worcester,MA
2018,01561,22010,Clinton,MA,231,Worcester,MA
2018,01562,22070,Worcester,MA,231,Worcester,MA
2018,01564,22070,Worcester,MA,231,Worcester,MA
2018,01566,22057,Southbridge,MA,231,Worcester,MA
2018,01568,22070,Worcester,MA,231,Worcester,MA
