source,coverage,url_or_endpoint,retrieved_utc,transformation,output_path,row_count,status,notes
Medicaid State Drug Utilization Data,2012-2022,"{""2012"":""https://download.medicaid.gov/data/StateDrugUtilizationData-2012.csv"",""2013"":""https://download.medicaid.gov/data/StateDrugUtilizationData-2013.csv"",""2014"":""https://download.medicaid.gov/data/StateDrugUtilizationData-2014.csv"",""2015"":""https://download.medicaid.gov/data/StateDrugUtilizationData-2015.csv"",""2016"":""https://download.medicaid.gov/data/StateDrugUtilizationData-2016.csv"",""2017"":""https://download.medicaid.gov/data/StateDrugUtilizationData-2017.csv"",""2018"":""https://download.medicaid.gov/data/StateDrugUtilizationData-2018.csv"",""2019"":""https://download.medicaid.gov/data/StateDrugUtilizationData-2019.csv"",""2020"":""https://download.medicaid.gov/data/sdud2020_updatedJuly2026.csv"",""2021"":""https://download.medicaid.gov/data/sdud2021_updatedJuly2026.csv"",""2022"":""https://download.medicaid.gov/data/sdud2022_updatedJuly2026.csv""}",2026-08-10T20:20:20+00:00,state/year/quarter aggregate,data/medicaid_sdud_state_quarter.csv.gz,4090,ok,
NADAC,2013-2022,"{""2013"":""https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost.a4y5-998d.1fe73992-cbfd-5109-97bc-dee8b33fdcff.csv"",""2014"":""https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost.ba0c3734-8012-549a-8f50-2ff389d0e0ef.csv"",""2015"":""https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost.4d7af295-2132-55a8-b40c-d6630061f3e8.csv"",""2016"":""https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost.7656fc17-f1b4-566b-9a2d-c4a4f2ac7ae1.csv"",""2017"":""https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost.1c5d0fc9-693a-534a-8240-4627d9362b0d.csv"",""2018"":""https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost.8de1b213-73c5-552b-b84e-ac795f34d056.csv"",""2019"":""https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost.76a1984a-6d69-5e4d-86c8-65eb31f0506d.csv"",""2020"":""https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost.c933dc16-7de9-52b6-8971-4b75992673e0.csv"",""2021"":""https://download.medicaid.gov/data/national-average-drug-acquisition-cost-12-29-2021.csv"",""2022"":""https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-2022.csv""}",2026-08-10T20:20:20+00:00,row-level cleaned CSV,data/nadac_ndc_weekly.csv.gz,2719680,partial,Existing output is readable but historical years are missing; see data/nadac_FAILED.txt.
Medicare Part D PUFs,2013-2022,"{""2013"":""9aec2a70-4ef2-438a-bc35-1747fe2492c9"",""2014"":""63099eb4-6c9e-4fec-8c9e-b6b132f1b7f4"",""2015"":""73748d0b-2acb-420a-ac66-27d8e238fdc8"",""2016"":""c5b3c840-5eb2-4e4c-ac35-c30995dcb051"",""2017"":""7863e41c-3f6f-4889-93a8-be65e9f3d073"",""2018"":""b083c9b6-b841-4676-8d0a-fb03ee1431a1"",""2019"":""73a6335e-f16f-4c81-a84b-6b5a986e2bf8"",""2020"":""83891e77-99cf-4865-b60a-97703b916e09"",""2021"":""7dda2a9d-034a-446a-b4b3-e1254e0127b2"",""2022"":""1fc57194-a51d-4864-aee6-de0889488151""}",2026-08-10T20:20:20+00:00,row-level cleaned CSV,data/cms_partd_geography_drug.csv.gz,1117612,ok,
openFDA Drug Shortages,2012-2022,https://api.fda.gov/drug/shortages.json,2026-08-10T20:20:20+00:00,row-level cleaned CSV,data/openfda_shortages_2012_2022.csv.gz,789,ok,
ASHP Shortages API,US; historical/current,https://github.com/ASHP-Software/drugShortagesDoc,2026-08-10T20:20:20+00:00,access status documented; no public bulk extract,data/ashp_shortages_RESTRICTED.txt,0,restricted,No public no-credential bulk dataset/API; commercial license or key required.
EMA Shortages Catalogue,current live catalogue,https://www.ema.europa.eu/en/documents/report/shortages-output-json-report_en.json,2026-08-10T20:20:20+00:00,row-level cleaned CSV; current catalogue is not historical 2012-2022,data/ema_shortages_2012_2022.csv.gz,82,ok,
openFDA Enforcement/Recalls,2012-2022,https://api.fda.gov/drug/enforcement.json,2026-08-10T20:20:20+00:00,row-level cleaned CSV,data/openfda_enforcement_2012_2022.csv.gz,14942,ok,
openFDA NDC Directory,2012-2022 focus window,https://api.fda.gov/drug/ndc.json,2026-08-10T20:20:20+00:00,row-level cleaned CSV with marketing-start-date filter,data/openfda_ndc_2012_2022.csv.gz,65026,ok,
MSH Intl Medical Products Price Guide,2015 PDF edition,https://msh.org/wp-content/uploads/2020/03/msh-2015-international-medical-products-price-guide.pdf,2026-08-10T20:20:20+00:00,PDF downloaded; image-only extraction blocked without OCR,data/msh_price_guide_2015_NOT_EXTRACTED.txt,0,blocked,PDF downloaded; image-only and OCR tooling is unavailable.
OECD pharma consumption + key indicators,2012-2022,"{""consumption"":""https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,HEALTH_PHMC@DF_PHMC_CONSUM,1.0/.?startPeriod=2012&endPeriod=2022&dimensionAtObservation=AllDimensions"",""key"":""https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,HEALTH_PHMC@DF_KEY_INDIC,1.0/.?startPeriod=2012&endPeriod=2022&dimensionAtObservation=AllDimensions""}",2026-08-10T20:20:20+00:00,row-level cleaned CSV,data/oecd_pharma_2012_2022.csv.gz,1668,ok,
