date,year,indicator,value,units,source
2019-01-01,2019,Average Planning Time Index at 10 Bottleneck Locations,7.945,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach,19.77,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,22.33,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,19.14,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,20.22,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH Around Port of New York-New Jersey,18.43,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH at 10 Bottleneck Locations,22.75,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Containerized Exports at U.S. Ports in TEUs,1056218.19,TEUs,MARAD Office of Policy and Plans analysis of IHS Markit PIERS data
2019-01-01,2019,Containerized Imports at U.S. Ports in TEUs,2156456.25,TEUs,MARAD Office of Policy and Plans analysis of IHS Markit PIERS data
2019-01-01,2019,Downbound Grain Barge Rates,8.01,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,17.98,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,17,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,16.17,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,12.37,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,261726,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,209870,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,20698,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,60043,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,45712,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,93907,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,50538,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,39769,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,182337,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,"Empty Export Containers (in TEUs), Aggregated Select U.S. Ports",964600,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
