period,series,series_description,value,units
2012-01,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),110.69,$/BBL
2012-01,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",100.27,$/BBL
2012-02,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),119.33,$/BBL
2012-02,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",102.2,$/BBL
2012-03,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),125.45,$/BBL
2012-03,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",106.16,$/BBL
2012-04,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),119.75,$/BBL
2012-04,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",103.32,$/BBL
2012-05,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),110.34,$/BBL
2012-05,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",94.66,$/BBL
2012-06,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),95.16,$/BBL
2012-06,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",82.3,$/BBL
2012-07,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),102.62,$/BBL
2012-07,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",87.9,$/BBL
2012-08,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),113.36,$/BBL
2012-08,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",94.13,$/BBL
2012-09,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),112.86,$/BBL
2012-09,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",94.51,$/BBL
2012-10,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),111.71,$/BBL
2012-10,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",89.49,$/BBL
2012-11,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),109.06,$/BBL
2012-11,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",86.53,$/BBL
2012-12,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),109.49,$/BBL
2012-12,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",87.86,$/BBL
2013-01,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),112.96,$/BBL
2013-01,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",94.76,$/BBL
2013-02,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),116.05,$/BBL
2013-02,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",95.31,$/BBL
2013-03,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),108.47,$/BBL
2013-03,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",92.94,$/BBL
2013-04,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),102.25,$/BBL
2013-04,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",92.02,$/BBL
2013-05,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),102.56,$/BBL
2013-05,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",94.51,$/BBL
2013-06,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),102.92,$/BBL
2013-06,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",95.77,$/BBL
2013-07,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),107.93,$/BBL
2013-07,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",104.67,$/BBL
2013-08,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),111.28,$/BBL
2013-08,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",106.57,$/BBL
2013-09,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),111.6,$/BBL
2013-09,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",106.29,$/BBL
2013-10,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),109.08,$/BBL
2013-10,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",100.54,$/BBL
2013-11,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),107.79,$/BBL
2013-11,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",93.86,$/BBL
2013-12,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),110.76,$/BBL
2013-12,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",97.63,$/BBL
2014-01,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),108.12,$/BBL
2014-01,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",94.62,$/BBL
2014-02,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),108.9,$/BBL
2014-02,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",100.82,$/BBL
2014-03,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),107.48,$/BBL
2014-03,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",100.8,$/BBL
2014-04,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),107.76,$/BBL
2014-04,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",102.07,$/BBL
2014-05,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),109.54,$/BBL
2014-05,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",102.18,$/BBL
2014-06,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),111.8,$/BBL
2014-06,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",105.79,$/BBL
2014-07,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),106.77,$/BBL
2014-07,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",103.59,$/BBL
