year,month,ISO3,country,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2019,1,ABW,Aruba,13,0,5,2,6,20,26,12827,0,4509,475,39977,17811,57791,6570,0,170,26,707,6768,7476
2019,1,AGO,Angola,39,3,27,4,59,73,132,239321,16095,54722,2690,232412,312832,545248,15322,0,22333,56,1243415,37711,1281128
2019,1,AIA,Anguilla,0,0,8,0,7,8,15,0,0,3702,0,5055,3702,8758,0,0,280,0,519,280,799
2019,1,ALB,Albania,1,0,8,0,3,9,12,1052,0,10343,0,8041,11395,19436,0,0,340,0,730,340,1070
2019,1,ARE,United Arab Emirates,428,175,152,61,424,816,1240,10016943,1506697,147797,55635,3266972,11727106,14994096,8936320,4205642,135604,10409,4079402,13288014,17367453
2019,1,ARG,Argentina,98,299,60,20,286,477,763,336954,1481440,77399,10739,651520,1906543,2558084,418835,6548940,128457,10168,1859184,7106409,8965618
2019,1,ASM,American Samoa,8,0,4,0,2,12,14,9236,0,2051,0,0,11288,11288,1835,0,206,0,532,2041,2573
2019,1,ATG,Antigua and Barbuda,12,0,12,8,13,32,45,6196,0,4431,652,43284,11284,54571,5228,0,1168,20,14309,6416,20726
2019,1,AUS,Australia,336,1144,228,185,372,1893,2265,3648339,3864439,293331,122632,4570955,7928787,12499780,1727972,98085838,447583,31172,5044383,100292625,105337040
2019,1,AZE,Azerbaijan,0,2,13,3,37,18,55,0,2892,1814,1803,135581,6509,142093,0,0,4793,825,36446,5619,42067
2019,1,BEL,Belgium,478,91,448,394,1577,1411,2988,6105806,1846387,432998,220170,4789947,8605439,13395427,7126537,510054,429199,301963,3072051,8367822,11439910
2019,1,BEN,Benin,44,15,4,9,14,72,86,189830,262920,6225,12243,64306,471229,535536,63703,13363,2646,60,2188,79772,81960
2019,1,BES,"Bonaire,  Saint Eustatius and Saba",4,0,10,0,30,14,44,978,0,6711,0,492143,7690,499833,10831,0,8191,0,95100,19022,114122
2019,1,BGD,Bangladesh,110,33,34,6,36,183,219,533772,659431,78461,5145,154322,1276834,1431163,22124,68737,21365,1203,3019,113437,116459
2019,1,BGR,Bulgaria,13,28,93,1,47,135,182,6532,113792,96752,221,607775,217306,825089,13148,249862,99455,233,350580,362706,713288
2019,1,BHR,Bahrain,23,27,21,16,38,87,125,72739,727309,49135,2106,46113,851294,897408,56432,323794,16860,2417,1043883,399509,1443394
2019,1,BHS,The Bahamas,89,9,23,34,21,155,176,305433,6958,7503,12284,76308,332190,408499,237577,219404,4297,752,104154,462042,566199
2019,1,BLM,Saint-Barthélemy,0,0,0,7,2,7,9,0,0,0,1985,0,1985,1985,0,0,0,924,0,924,924
2019,1,BLZ,Belize,6,0,2,0,2,8,10,6458,0,5711,0,0,12170,12170,427,0,0,0,457,427,884
2019,1,BRA,Brazil,707,727,399,43,765,1876,2641,3113169,7200674,351731,25433,10597255,10691080,21288400,3421506,39463362,647517,21502,10892970,43553963,54446982
2019,1,BRB,Barbados,25,8,15,7,13,55,68,18639,6322,13820,706,30067,39494,69567,7975,15083,3764,25,452,26849,27302
2019,1,BRN,Brunei Darussalam,5,2,5,3,3,15,18,13243,17481,11450,219,1918,42394,44312,3694,7528,778,0,5666,12000,17666
