period,gscpi,latest_vintage
2012-01,0.36,Aug-26
2012-02,-0.01,Aug-26
2012-03,-0.39,Aug-26
2012-04,-0.33,Aug-26
2012-05,-0.69,Aug-26
2012-06,-0.71,Aug-26
2012-07,-0.67,Aug-26
2012-08,-0.15,Aug-26
2012-09,-0.27,Aug-26
2012-10,-0.02,Aug-26
2012-11,-0.36,Aug-26
2012-12,-0.17,Aug-26
2013-01,-0.08,Aug-26
2013-02,-0.41,Aug-26
2013-03,-0.57,Aug-26
2013-04,-0.76,Aug-26
2013-05,-0.88,Aug-26
2013-06,-0.68,Aug-26
2013-07,-0.67,Aug-26
2013-08,-0.58,Aug-26
2013-09,-0.28,Aug-26
2013-10,-0.2,Aug-26
2013-11,-0.71,Aug-26
2013-12,-0.5,Aug-26
2014-01,-0.65,Aug-26
2014-02,-0.29,Aug-26
2014-03,-0.62,Aug-26
2014-04,-0.81,Aug-26
2014-05,-0.82,Aug-26
2014-06,-0.71,Aug-26
2014-07,-0.83,Aug-26
2014-08,-0.65,Aug-26
2014-09,-0.85,Aug-26
2014-10,-0.62,Aug-26
2014-11,-1.02,Aug-26
2014-12,-0.44,Aug-26
2015-01,-0.53,Aug-26
2015-02,-0.36,Aug-26
2015-03,-0.43,Aug-26
2015-04,-0.37,Aug-26
2015-05,-0.58,Aug-26
2015-06,-0.9,Aug-26
2015-07,-0.43,Aug-26
2015-08,-0.71,Aug-26
2015-09,-0.42,Aug-26
2015-10,-0.26,Aug-26
2015-11,-0.68,Aug-26
2015-12,-0.64,Aug-26
2016-01,-0.83,Aug-26
2016-02,-0.77,Aug-26
2016-03,-0.66,Aug-26
2016-04,-0.27,Aug-26
2016-05,-0.74,Aug-26
2016-06,-0.3,Aug-26
2016-07,-0.19,Aug-26
2016-08,0.09,Aug-26
2016-09,-0.3,Aug-26
2016-10,-0.08,Aug-26
2016-11,-0.33,Aug-26
2016-12,-0.25,Aug-26
2017-01,0.16,Aug-26
2017-02,0.17,Aug-26
2017-03,0.08,Aug-26
2017-04,0.0,Aug-26
2017-05,-0.16,Aug-26
2017-06,0.08,Aug-26
2017-07,0.08,Aug-26
2017-08,0.38,Aug-26
2017-09,0.53,Aug-26
2017-10,0.77,Aug-26
2017-11,0.81,Aug-26
2017-12,0.67,Aug-26
2018-01,0.57,Aug-26
2018-02,0.05,Aug-26
2018-03,0.42,Aug-26
2018-04,0.5,Aug-26
2018-05,0.36,Aug-26
2018-06,0.41,Aug-26
2018-07,0.42,Aug-26
2018-08,0.52,Aug-26
2018-09,0.45,Aug-26
2018-10,0.52,Aug-26
2018-11,0.44,Aug-26
2018-12,0.45,Aug-26
2019-01,0.5,Aug-26
2019-02,0.12,Aug-26
2019-03,0.2,Aug-26
2019-04,0.0,Aug-26
2019-05,-0.64,Aug-26
2019-06,-0.47,Aug-26
2019-07,-0.46,Aug-26
2019-08,-0.31,Aug-26
2019-09,0.12,Aug-26
2019-10,0.07,Aug-26
2019-11,0.14,Aug-26
2019-12,0.02,Aug-26
2020-01,0.06,Aug-26
2020-02,1.22,Aug-26
2020-03,2.61,Aug-26
2020-04,3.35,Aug-26
2020-05,2.57,Aug-26
2020-06,2.3,Aug-26
2020-07,2.95,Aug-26
2020-08,1.47,Aug-26
2020-09,0.63,Aug-26
2020-10,0.11,Aug-26
2020-11,0.76,Aug-26
2020-12,1.7,Aug-26
2021-01,1.34,Aug-26
2021-02,1.97,Aug-26
2021-03,2.28,Aug-26
2021-04,2.78,Aug-26
2021-05,3.06,Aug-26
2021-06,2.76,Aug-26
2021-07,2.97,Aug-26
2021-08,3.33,Aug-26
2021-09,3.39,Aug-26
2021-10,3.93,Aug-26
2021-11,4.36,Aug-26
2021-12,4.44,Aug-26
2022-01,3.72,Aug-26
2022-02,2.81,Aug-26
2022-03,2.86,Aug-26
2022-04,3.53,Aug-26
2022-05,2.74,Aug-26
2022-06,2.41,Aug-26
2022-07,1.83,Aug-26
2022-08,1.51,Aug-26
2022-09,0.99,Aug-26
2022-10,1.1,Aug-26
2022-11,1.27,Aug-26
2022-12,1.34,Aug-26
