date,state,facility_type,drug_name,therapeutic_class,units_sold,unit_price_usd,revenue_usd,stockout_flag,injected_event_tags
2023-01-01,Arkansas,local government clinic,Lisinopril 10 mg tablet,ACE inhibitor,0,0.09,0.0,0,weekend_closed|medicaid_unwinding_2023|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Amlodipine 5 mg tablet,antihypertensive,2,0.08,0.16,0,weekend_closed|medicaid_unwinding_2023|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Losartan 50 mg tablet,ARB,1,0.1,0.1,0,weekend_closed|medicaid_unwinding_2023|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Metformin 500 mg tablet,diabetes,1,0.08,0.08,0,weekend_closed|medicaid_unwinding_2023|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Glipizide 5 mg tablet,diabetes,0,0.1,0.0,0,weekend_closed|medicaid_unwinding_2023|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Atorvastatin 20 mg tablet,statin,1,0.1,0.1,0,weekend_closed|medicaid_unwinding_2023|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Simvastatin 40 mg tablet,statin,0,0.09,0.0,0,weekend_closed|medicaid_unwinding_2023|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Levothyroxine 50 mcg tablet,thyroid,2,0.1,0.2,0,weekend_closed|medicaid_unwinding_2023|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Omeprazole 20 mg capsule,GI,0,0.11,0.0,0,weekend_closed|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Famotidine 20 mg tablet,GI,0,0.12,0.0,0,weekend_closed|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Albuterol HFA inhaler,respiratory,1,0.13,0.13,0,weekend_closed|winter_respiratory|covid_waves|rsv_winter|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Fluticasone nasal spray,allergy,0,0.13,0.0,0,weekend_closed|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Cetirizine 10 mg tablet,allergy,0,0.11,0.0,0,weekend_closed|jan_jul_repricing
