drug_name,rank,signal,train_correlation
Acetaminophen 500 mg tablet,1,model_news_output_national_supply_chain_risk_monthly_state_AR,0.7640707418153803
Acetaminophen 500 mg tablet,2,model_news_output_national_supply_stage_direction_monthly_state_AR,0.7640707418153803
Acetaminophen 500 mg tablet,3,model_news_output_arkansas_anti_infective_national_supply_monthly_state_AR,0.7437224482567112
Acetaminophen 500 mg tablet,4,model_external_state_feature_national_unemployment_rate_rolling_std_4_monthly_national_US,0.6651719979008847
Acetaminophen 500 mg tablet,5,model_news_output_arkansas_anesthesia_supply_chain_monthly_state_AR,0.6487065162344752
Acetaminophen 500 mg tablet,6,model_news_output_arkansas_antiinfective_anesthesia_supply_monthly_state_AR,0.6397386318973646
Acetaminophen 500 mg tablet,7,model_news_output_arkansas_anti_infective_national_policy_monthly_state_AR,0.6357866946201243
Acetaminophen 500 mg tablet,8,model_news_output_arkansas_anti_infective_supply_chain_monthly_state_AR,0.6244268546931457
Acetaminophen 500 mg tablet,9,model_news_output_arkansas_anti_infective_anesthesia_policy_monthly_state_AR,0.6227275810990213
Acetaminophen 500 mg tablet,10,model_news_output_arkansas_anti_infective_supply_policy_pressure_monthly_state_AR,0.6226138059984626
Acetaminophen 500 mg tablet,11,model_external_state_feature_consumer_price_index_all_items_rolling_std_4_monthly_national,-0.5517275983943241
Acetaminophen 500 mg tablet,12,model_news_output_arkansas_anti_infective_national_demand_monthly_state_AR,0.5311595583050018
Acetaminophen 500 mg tablet,13,model_external_state_feature_consumer_price_index_all_items_change_4_monthly_national_US,-0.5164000413061621
Acetaminophen 500 mg tablet,14,model_news_output_arkansas_anesthesia_disruption_monthly_state_AR,0.48870078253000027
Acetaminophen 500 mg tablet,15,model_external_state_feature_arkansas_unemployment_rate_seasonal_anomaly_monthly_state_AR,0.47854984555157987
Albuterol HFA inhaler,1,model_external_state_feature_national_unemployment_rate_rolling_std_4_monthly_national_US,0.689860745071785
Albuterol HFA inhaler,2,model_news_output_national_supply_chain_risk_monthly_state_AR,0.6132665904488585
Albuterol HFA inhaler,3,model_news_output_national_supply_stage_direction_monthly_state_AR,0.6132665904488585
Albuterol HFA inhaler,4,model_news_output_arkansas_anti_infective_national_supply_monthly_state_AR,0.5755383304789087
Albuterol HFA inhaler,5,model_external_state_feature_consumer_price_index_all_items_rolling_std_4_monthly_national,-0.5480163023518674
Albuterol HFA inhaler,6,model_external_state_feature_consumer_price_index_all_items_change_4_monthly_national_US,-0.5382731059420081
Albuterol HFA inhaler,7,model_external_state_feature_arkansas_unemployment_rate_seasonal_anomaly_monthly_state_AR,0.5287180228821999
Albuterol HFA inhaler,8,model_news_output_arkansas_anti_infective_national_policy_monthly_state_AR,0.48900334601032297
Albuterol HFA inhaler,9,model_external_state_feature_national_unemployment_rate_lag_1_monthly_national_US,0.47159031774097904
Albuterol HFA inhaler,10,model_external_state_feature_consumer_price_index_all_items_change_12_monthly_national_US,-0.470101075945307
Albuterol HFA inhaler,11,model_news_output_arkansas_anesthesia_supply_chain_monthly_state_AR,0.4544551308910442
Albuterol HFA inhaler,12,model_external_state_feature_consumer_price_index_all_items_lag_4_monthly_national_US,0.45184368193551067
Albuterol HFA inhaler,13,model_news_output_arkansas_antiinfective_anesthesia_supply_monthly_state_AR,0.4463265384944888
Albuterol HFA inhaler,14,model_external_state_feature_consumer_price_index_all_items_change_1_monthly_national_US,-0.4393285457828665
Albuterol HFA inhaler,15,model_news_output_arkansas_anti_infective_supply_chain_monthly_state_AR,0.4337447965292403
Amlodipine 5 mg tablet,1,model_external_state_feature_consumer_price_index_all_items_change_1_monthly_national_US,0.27301194898212305
Amlodipine 5 mg tablet,2,model_external_state_feature_consumer_price_index_all_items_change_4_monthly_national_US,0.25466880951067794
Amlodipine 5 mg tablet,3,model_external_state_feature_arkansas_unemployment_rate_change_4_monthly_state_AR,0.22777816205438603
Amlodipine 5 mg tablet,4,model_external_state_feature_national_unemployment_rate_rolling_std_4_monthly_national_US,-0.20500050544339019
Amlodipine 5 mg tablet,5,model_external_state_feature_arkansas_unemployment_rate_lag_4_monthly_state_AR,-0.1955100491263204
Amlodipine 5 mg tablet,6,model_external_state_feature_arkansas_unemployment_rate_lag_1_monthly_state_AR,0.19187256675784908
Amlodipine 5 mg tablet,7,model_external_state_feature_consumer_price_index_all_items_rolling_std_4_monthly_national,0.18861972111168
Amlodipine 5 mg tablet,8,model_external_state_feature_arkansas_unemployment_rate_rolling_std_4_monthly_state_AR,0.18631352129519851
Amlodipine 5 mg tablet,9,model_news_output_arkansas_anti_infective_disruption_monthly_state_AR,0.16316200368700623
Amlodipine 5 mg tablet,10,model_external_state_feature_medicaid_call_center_abandonment_rate_monthly_state_AR,-0.14912404562237572
Amlodipine 5 mg tablet,11,model_external_state_feature_chip_enrollment_monthly_state_AR,-0.1491240456223754
Amlodipine 5 mg tablet,12,model_external_state_feature_medicaid_chip_child_enrollment_monthly_state_AR,0.1491240456223753
Amlodipine 5 mg tablet,13,model_external_state_feature_medicaid_chip_new_applications_monthly_state_AR,-0.14912404562237513
Amlodipine 5 mg tablet,14,model_external_state_feature_medicaid_call_center_wait_time_monthly_state_AR,0.1491240456223751
Amlodipine 5 mg tablet,15,model_external_state_feature_adult_medicaid_enrollment_monthly_state_AR,0.149124045622375
Amoxicillin 500 mg capsule,1,model_news_output_national_supply_chain_risk_monthly_state_AR,0.8169244817467887
Amoxicillin 500 mg capsule,2,model_news_output_national_supply_stage_direction_monthly_state_AR,0.8169244817467887
Amoxicillin 500 mg capsule,3,model_news_output_arkansas_anti_infective_national_supply_monthly_state_AR,0.7900839165344329
Amoxicillin 500 mg capsule,4,model_news_output_arkansas_anti_infective_national_policy_monthly_state_AR,0.6791141753825511
Amoxicillin 500 mg capsule,5,model_news_output_arkansas_anesthesia_supply_chain_monthly_state_AR,0.6610025313781926
Amoxicillin 500 mg capsule,6,model_news_output_arkansas_antiinfective_anesthesia_supply_monthly_state_AR,0.6595119961981877
Amoxicillin 500 mg capsule,7,model_news_output_arkansas_anti_infective_supply_chain_monthly_state_AR,0.6515941831587805
Amoxicillin 500 mg capsule,8,model_news_output_arkansas_anti_infective_supply_policy_pressure_monthly_state_AR,0.6513858901280413
Amoxicillin 500 mg capsule,9,model_news_output_arkansas_anti_infective_anesthesia_policy_monthly_state_AR,0.648046101096454
Amoxicillin 500 mg capsule,10,model_external_state_feature_national_unemployment_rate_rolling_std_4_monthly_national_US,0.6170475745935298
