A	id	title	url	lang	sourcelang	createdat	publishedat	rssfeedid	source	referenceid	referencekey	keywordlist	locationlist	publicationdate	label
0.0	"DHFYRFCW9W"	"Footrot - what you need to know"	"https://www.miragenews.com/footrot-what-you-need-to-know-538418/"	"EN"	""	"2021-04-01 04:01:25"	"2021-04-01 00:30:21+00:00"	"4a0fb79fd8"	"www.miragenews.com"					1.617244221E9	"relevant"
1.0	"3B2WXY8HHF"	"Avian influenza is still a threat"	"https://www.scotsman.com/country-and-farming/avian-influenza-is-still-a-threat-3185507"	"EN"	""	"2021-04-01 12:00:01"	"2021-04-01 06:12:01+00:00"	"10c8057870"	"www.scotsman.com"					1.617257521E9	"relevant"
2.0	"JC0D1V6IE6"	"Heilongjiang Provincial Department of Agriculture and Rural Affairs issued a notice on the implementation of the Ministry of Agriculture and Rural Affairs to further crack down on the implementation of the African swine fever vaccine implementation program . . . Oriental Wealth Network"	"http://futures.eastmoney.com/a/202104011868910470.html"	"EN"	"ZH-CN"	"2021-04-01 10:01:55"	"2021-04-01 05:47:00+00:00"	"694f097b0d"	"futures.eastmoney.com"					1.61726322E9	"relevant"
3.0	"49ZL2AGUOT"	"People eat meat demand to speed up the upgrading of | Ireland, Sina Finance, Sina.com"	"https://finance.sina.com.cn/money/future/roll/2021-04-01/doc-ikmxzfmk0551126.shtml"	"EN"	"ZH-CN"	"2021-04-01 10:01:55"	"2021-04-01 04:04:51+00:00"	"694f097b0d"	"finance.sina.com.cn"					1.617257091E9	"relevant"
4.0	"XPYQTL90E6"	"Credit Raith: Wanzhou International maintained its winning market rating target price slightly reduced to HK$9.9"	"https://finance.sina.com.cn/stock/hkstock/hkgg/2021-04-01/doc-ikmxzfmk0508710.shtml"	"EN"	"ZH-CN"	"2021-04-01 10:01:55"	"2021-04-01 01:37:38+00:00"	"694f097b0d"	"finance.sina.com.cn"					1.617248258E9	"relevant"
5.0	"0DZ37FXEQG"	"CIC Futures: Pig spot continued to fall futures under pressure to weaken"	"https://finance.sina.com.cn/money/future/roll/2021-04-01/doc-ikmyaawa3334943.shtml"	"EN"	"ZH-CN"	"2021-04-01 12:01:55"	"2021-04-01 02:23:40+00:00"	"694f097b0d"	"finance.sina.com.cn"					1.61724382E9	"relevant"
6.0	"D7T0XLW3RY"	"The multi-empty factor interweaving vegetable meal oscillation pattern does not change| swine fever vaccine, Sina Finance, Sina.com"	"https://finance.sina.com.cn/money/future/agri/2021-04-01/doc-ikmyaawa3308780.shtml"	"EN"	"ZH-CN"	"2021-04-01 10:01:55"	"2021-03-31 23:03:32+00:00"	"694f097b0d"	"finance.sina.com.cn"					1.617239012E9	"relevant"
7.0	"R1L1VNW5DD"	"Hong Kong suspends imports of poultry meat and poultry products from parts of Poland - Hong Kong Business Daily"	"http://www.hkcd.com/content/2021-04/01/content_1259397.html"	"EN"	"KO"	"2021-04-01 10:56:22"	"2021-04-01 05:28:00+00:00"	"6f2d1c133e18"	"www.hkcd.com"					1.61726208E9	"relevant"
8.0	"6X2PG97KMY"	"Fourty-four people died! Fujian releases latest infectious disease outbreak! These diseases should pay attention to... | Infectious | cholera | onset - Sina News"	"http://k.sina.com.cn/article_2300385602_891d1942019018qz7.html"	"EN"	"ZH-CN"	"2021-04-01 10:56:22"	"2021-04-01 01:55:36+00:00"	"6f2d1c133e18"	"k.sina.com.cn"					1.617249336E9	"relevant"
9.0	"SCBQQY6UL5"	"‘Very unlikely’ that vaccinated badger gave TB to cat"	"https://www.farmersjournal.ie/very-unlikely-that-vaccinated-badger-gave-tb-to-cat-department-612450/"	"EN"	""	"2021-04-01 11:09:34"	"2021-03-31 20:11:48+00:00"	"09f6823154"	"www.farmersjournal.ie"					1.617228708E9	"relevant"
