date,drug_name,predicted_units,horizon_day
2026-01-01,Acetaminophen 500 mg tablet,16.12,1
2026-01-01,Albuterol HFA inhaler,7.4,1
2026-01-01,Amlodipine 5 mg tablet,7.78,1
2026-01-01,Amoxicillin 500 mg capsule,11.99,1
2026-01-01,Amoxicillin-clavulanate 875/125 mg tablet,10.18,1
2026-01-01,Atorvastatin 20 mg tablet,7.5,1
2026-01-01,Azithromycin 250 mg tablet,7.59,1
2026-01-01,Cephalexin 500 mg capsule,5.48,1
2026-01-01,Cetirizine 10 mg tablet,4.29,1
2026-01-01,Doxycycline 100 mg capsule,7.69,1
2026-01-01,Famotidine 20 mg tablet,3.69,1
2026-01-01,Fluticasone nasal spray,4.09,1
2026-01-01,Gabapentin 300 mg capsule,5.25,1
2026-01-01,Glipizide 5 mg tablet,3.14,1
2026-01-01,Hydrochlorothiazide 25 mg tablet,4.51,1
2026-01-01,Ibuprofen 200 mg tablet,19.67,1
2026-01-01,Insulin glargine 100 units/mL pen,1.38,1
2026-01-01,Levothyroxine 50 mcg tablet,5.3,1
2026-01-01,Lisinopril 10 mg tablet,8.96,1
2026-01-01,Losartan 50 mg tablet,6.2,1
2026-01-01,Metformin 500 mg tablet,9.32,1
2026-01-01,Naloxone 4 mg nasal spray,0.36,1
2026-01-01,Naproxen 500 mg tablet,5.02,1
2026-01-01,Nirmatrelvir/ritonavir 300/100 mg pack,0.56,1
2026-01-01,Omeprazole 20 mg capsule,6.84,1
2026-01-01,Oseltamivir 75 mg capsule,3.32,1
2026-01-01,Prednisone 20 mg tablet,9.16,1
2026-01-01,Semaglutide 0.25/0.5 mg pen,0.16,1
2026-01-01,Sertraline 50 mg tablet,4.01,1
2026-01-01,Simvastatin 40 mg tablet,3.1,1
2026-01-02,Acetaminophen 500 mg tablet,1.4,2
2026-01-02,Albuterol HFA inhaler,1.23,2
2026-01-02,Amlodipine 5 mg tablet,1.15,2
2026-01-02,Amoxicillin 500 mg capsule,3.04,2
2026-01-02,Amoxicillin-clavulanate 875/125 mg tablet,5.86,2
2026-01-02,Atorvastatin 20 mg tablet,1.2,2
2026-01-02,Azithromycin 250 mg tablet,2.87,2
2026-01-02,Cephalexin 500 mg capsule,1.02,2
2026-01-02,Cetirizine 10 mg tablet,0.07,2
2026-01-02,Doxycycline 100 mg capsule,3.59,2
2026-01-02,Famotidine 20 mg tablet,0.54,2
2026-01-02,Fluticasone nasal spray,0.28,2
2026-01-02,Gabapentin 300 mg capsule,0.29,2
2026-01-02,Glipizide 5 mg tablet,0.68,2
2026-01-02,Hydrochlorothiazide 25 mg tablet,0.0,2
2026-01-02,Ibuprofen 200 mg tablet,8.14,2
2026-01-02,Insulin glargine 100 units/mL pen,0.08,2
2026-01-02,Levothyroxine 50 mcg tablet,0.49,2
2026-01-02,Lisinopril 10 mg tablet,1.07,2
2026-01-02,Losartan 50 mg tablet,1.2,2
2026-01-02,Metformin 500 mg tablet,1.06,2
2026-01-02,Naloxone 4 mg nasal spray,0.02,2
2026-01-02,Naproxen 500 mg tablet,0.0,2
2026-01-02,Nirmatrelvir/ritonavir 300/100 mg pack,0.06,2
2026-01-02,Omeprazole 20 mg capsule,0.82,2
2026-01-02,Oseltamivir 75 mg capsule,2.71,2
2026-01-02,Prednisone 20 mg tablet,5.01,2
2026-01-02,Semaglutide 0.25/0.5 mg pen,0.03,2
2026-01-02,Sertraline 50 mg tablet,0.37,2
2026-01-02,Simvastatin 40 mg tablet,0.22,2
2026-01-03,Acetaminophen 500 mg tablet,3.38,3
2026-01-03,Albuterol HFA inhaler,1.79,3
2026-01-03,Amlodipine 5 mg tablet,3.13,3
2026-01-03,Amoxicillin 500 mg capsule,2.6,3
2026-01-03,Amoxicillin-clavulanate 875/125 mg tablet,5.86,3
2026-01-03,Atorvastatin 20 mg tablet,3.41,3
2026-01-03,Azithromycin 250 mg tablet,2.56,3
