medication_id,medication_name,medication_category,current_inventory,reorder_point,max_capacity,prescription_volume_30d,avg_weekly_demand,demand_trend,supplier_id,supplier_lead_time_days,supplier_reliability_score,historical_shortage_count,days_since_last_shortage,avg_stockout_duration_days,risk_label
MED97AA68,Gabapentin 600mg,neurological,183.0,782.0,869.0,1130.0,311.0,0.51,SUP137,25.0,0.591,2,18.0,2.8,1
MED1F0811,Codeine/Guaifenesin,respiratory,2206.0,538.0,2224.0,1987.0,355.0,0.14,SUP127,27.0,0.479,6,63.0,6.5,1
MEDFBFC58,Infliximab 100mg,immunological,842.0,593.0,937.0,1274.0,196.0,0.51,SUP157,25.0,0.403,4,88.0,1.2,1
MEDA5AFD9,Divalproex ER 500mg,psychiatric,346.0,464.0,783.0,2057.0,295.0,-0.31,SUP144,11.0,0.473,1,68.0,18.3,1
MED556231,Amiodarone 200mg,cardiovascular,87.0,486.0,1345.0,437.0,211.0,0.62,SUP109,19.0,0.475,5,55.0,2.3,1
MEDE2C97D,Cisplatin 50mg,oncology,1843.0,675.0,1942.0,1780.0,270.0,-0.11,SUP146,44.0,0.298,9,60.0,4.2,1
MED79C665,Sucralfate 1g,gastrointestinal,164.0,1275.0,934.0,1961.0,371.0,0.38,SUP130,16.0,0.589,3,119.0,2.9,1
MED7EDCBB,Carboplatin 150mg,oncology,5.0,40.0,201.0,98.0,19.0,0.61,SUP147,42.0,0.374,7,88.0,7.6,1
MED7F8056,Amiodarone 200mg,cardiovascular,585.0,128.0,2638.0,256.0,49.0,0.11,SUP109,14.0,0.591,3,1.0,1.4,0
MEDC178F6,Pioglitazone 30mg,diabetes,1612.0,135.0,1710.0,430.0,107.0,-0.01,SUP116,4.0,0.735,5,57.0,43.0,0
MEDFC0387,Valproic Acid 250mg,neurological,975.0,474.0,1499.0,988.0,360.0,-0.23,SUP135,11.0,0.568,5,95.0,10.3,1
MED88F297,Cyclosporine 100mg,immunological,509.0,312.0,2540.0,671.0,214.0,0.59,SUP154,35.0,0.488,5,19.0,12.0,1
MEDDA0885,Dulaglutide 1.5mg,diabetes,574.0,274.0,646.0,733.0,111.0,-0.13,SUP115,37.0,0.491,6,103.0,1.9,1
MED78C4B7,Epinephrine 1mg/mL,respiratory,1389.0,137.0,1531.0,456.0,100.0,0.35,SUP124,27.0,0.359,7,37.0,12.7,0
MED8E3CB2,Vancomycin 1g,antibiotic,408.0,542.0,936.0,1238.0,198.0,0.63,SUP103,17.0,0.641,6,104.0,2.0,1
MED72FBE8,Carbamazepine 400mg,neurological,742.0,61.0,2238.0,294.0,52.0,0.63,SUP136,13.0,0.52,2,93.0,7.0,0
MED522C53,Clozapine 100mg,psychiatric,462.0,1678.0,1325.0,2154.0,340.0,-0.13,SUP140,38.0,0.486,4,40.0,2.3,1
MED86C789,Sucralfate 1g,gastrointestinal,2914.0,861.0,2964.0,1485.0,350.0,-0.36,SUP130,14.0,0.653,1,38.0,21.1,0
MED446D7B,Amiodarone 200mg,cardiovascular,142.0,651.0,1774.0,572.0,136.0,0.08,SUP109,20.0,0.615,5,117.0,3.2,1
MED2CD59B,Mesalamine 400mg,gastrointestinal,1051.0,290.0,2234.0,288.0,70.0,0.39,SUP132,18.0,0.636,4,53.0,4.0,0
MEDA27CE2,Cyclosporine 100mg,immunological,901.0,398.0,1206.0,786.0,199.0,0.35,SUP154,42.0,0.385,7,44.0,1.0,1
MEDD798D9,Ondansetron ODT 4mg,gastrointestinal,1209.0,383.0,2782.0,1284.0,186.0,0.58,SUP129,14.0,0.489,2,86.0,0.7,0
MED85A0FF,Codeine/Guaifenesin,respiratory,1672.0,563.0,2942.0,599.0,123.0,-0.01,SUP127,33.0,0.468,11,85.0,0.9,1
MEDDBC885,Diltiazem 120mg,cardiovascular,5.0,375.0,2228.0,533.0,108.0,-0.29,SUP110,2.0,0.729,4,87.0,4.2,0
MED530053,Pioglitazone 30mg,diabetes,540.0,493.0,1869.0,646.0,110.0,0.38,SUP116,12.0,0.751,4,60.0,8.7,0
MED06A0BC,Infliximab 100mg,immunological,42.0,160.0,1227.0,528.0,107.0,0.65,SUP157,27.0,0.334,6,10.0,4.2,1
MEDD0963C,Ceftriaxone 1g,antibiotic,1141.0,835.0,1277.0,1115.0,194.0,0.44,SUP104,17.0,0.667,7,76.0,6.3,0
MED2526E5,Colchicine 0.6mg,analgesic,406.0,630.0,460.0,1268.0,226.0,-0.12,SUP123,28.0,0.501,4,102.0,3.8,1
MED9265F2,Haloperidol 5mg,psychiatric,457.0,270.0,576.0,356.0,71.0,0.67,SUP141,27.0,0.456,7,72.0,26.6,1
MEDC38B0D,Semaglutide 0.25mg,diabetes,560.0,348.0,1074.0,613.0,111.0,0.37,SUP115,29.0,0.489,2,24.0,0.0,1
MED75EDC7,Bupropion XL 300mg,psychiatric,694.0,324.0,2613.0,1584.0,248.0,0.5,SUP143,15.0,0.589,4,31.0,5.9,0
MED4D7F49,Methotrexate 25mg/mL,oncology,505.0,246.0,520.0,689.0,173.0,0.65,SUP145,13.0,0.313,8,84.0,10.4,1
MED24C543,Infliximab 100mg,immunological,24.0,1522.0,1177.0,1311.0,329.0,0.25,SUP157,47.0,0.398,5,53.0,2.1,1
